Position,Match,Points SFL,Joueurs l'ayant choisi,total_choice,choix_autre,bet_safety,Equipe
0,Standard Liege 0 - 4 Zulte-Waregem,73,140,435,295,0.47297297297297297,Data Lost
1,Auxerre 1 - 3 Orleans,49,81,541,460,0.175704989154013,Data Lost
2,Clermont Foot 0 - 2 Lorient,35,431,578,147,2.9121621621621623,Data Lost
3,Roda 1 - 3 Arnheim,33,23,82,59,0.38333333333333336,Data Lost
4,Niort 2 - 1 Tours,33,0,0,0,0.0,Data Lost
5,AC Ajaccio 2 - 0 Paris FC,31,239,307,68,3.463768115942029,Data Lost
6,Reims 3 - 0 Bourg en Bresse Peronnas,31,0,0,0,0.0,Data Lost
7,Bayern Munich 3 - 1 Bayer Leverkusen,28,1447,1690,243,5.930327868852459,Data Lost
8,Nancy 2 - 2 Sochaux,28,0,0,0,0.0,Data Lost
9,Rio Ave 2 - 0 Portimonense,27,55,71,16,3.235294117647059,Data Lost
10,CD Leganes 1 - 0 CD Alaves,26,8,44,36,0.21621621621621623,Data Lost
11,Valence 1 - 0 Las Palmas,23,36,49,13,2.5714285714285716,Data Lost
12,GFC Ajaccio 1 - 0 Quevilly,23,36,89,53,0.6666666666666666,Data Lost
13,Le Havre 1 - 0 Valenciennes,22,196,250,54,3.5636363636363635,Data Lost
14,Metz 0 - 1 Monaco,19,1292,1388,96,13.31958762886598,Data Lost
15,Nancy 2 - 2 Sochaux,10,0,0,0,0.0,Data Lost
16,Auxerre 1 - 3 Orleans,5,460,541,81,5.609756097560975,Data Lost
17,Roda 1 - 3 Arnheim,5,59,82,23,2.4583333333333335,Data Lost
18,Niort 2 - 1 Tours,5,0,0,0,0.0,Data Lost
19,Bayern Munich 3 - 1 Bayer Leverkusen,5,243,1690,1447,0.16781767955801105,Data Lost
20,CD Leganes 1 - 0 CD Alaves,0,36,44,8,4.0,Data Lost
21,Le Havre 1 - 0 Valenciennes,0,54,250,196,0.27411167512690354,Data Lost
22,Valence 1 - 0 Las Palmas,0,13,49,36,0.35135135135135137,Data Lost
23,GFC Ajaccio 1 - 0 Quevilly,0,53,89,36,1.4324324324324325,Data Lost
24,Standard Liege 0 - 4 Zulte-Waregem,0,295,435,140,2.0921985815602837,Data Lost
25,Rio Ave 2 - 0 Portimonense,0,16,71,55,0.2857142857142857,Data Lost
26,Reims 3 - 0 Bourg en Bresse Peronnas,0,0,0,0,0.0,Data Lost
27,AC Ajaccio 2 - 0 Paris FC,0,68,307,239,0.2833333333333333,Data Lost
28,Clermont Foot 0 - 2 Lorient,0,147,578,431,0.3402777777777778,Data Lost
29,Metz 0 - 1 Monaco,0,96,1388,1292,0.07424593967517401,Data Lost
