,Position,Points SFL,Equipe,Match,Joueurs l'ayant choisi,total_choice,choix_autre,bet_safety
0,1,90,Austria Vienne,Rijeka 1 - 4 Austria Vienne,74,78,4,14.8
1,2,85,Tiraspol,Lokomotiv 1 - 2 Tiraspol,5,38,33,0.14705882352941177
2,3,65,Atiker Konyaspor 1922,Red Bull Salzbourg 0 - 0 Atiker Konyaspor 1922,18,57,39,0.45
3,4,55,Zulte-Waregem,Arnheim 0 - 2 Zulte-Waregem,23,36,13,1.6428571428571428
4,5,50,Guimaraes,Guimaraes 1 - 0 Marseille,149,225,76,1.9350649350649352
5,6,43,Cologne,Cologne 5 - 2 Bate Borisov,15,191,176,0.0847457627118644
6,7,41,FK Astana,Maccabi Tel Aviv 0 - 1 FK Astana,69,130,61,1.1129032258064515
7,8,40,Étoile rouge Belgrade,Arsenal 0 - 0 Étoile rouge Belgrade,4,363,359,0.011111111111111112
8,9,36,Dynamo Kiev,Young Boys 0 - 1 Dynamo Kiev,94,242,148,0.6308724832214765
9,10,35,Viktoria Plzen,Viktoria Plzen 4 - 1 FC Lugano,9,44,35,0.25
10,11,33,Apollon Limassol,Apollon Limassol 1 - 1 Atalanta Bergame,91,155,64,1.4
11,11,33,Villarreal,Slavia Prague 0 - 2 Villarreal,232,316,84,2.7294117647058824
12,13,30,Lyon,Lyon 3 - 0 Everton,283,504,221,1.2747747747747749
13,13,30,Hapoël Beer-Sheva,SC Fotbal Club Fcsb Sa 1 - 1 Hapoël Beer-Sheva,11,53,42,0.2558139534883721
14,15,29,Copenhague,Copenhague 3 - 0 Fastav Zlin,54,70,16,3.176470588235294
15,16,27,Hertha Berlin,Hertha Berlin 2 - 0 Zorya Lougansk,27,60,33,0.7941176470588235
16,17,26,Real Sociedad,Real Sociedad 3 - 0 Vardar Skopje,201,249,48,4.1020408163265305
17,18,25,Partizan Belgrade,Partizan Belgrade 2 - 0 KF Skenderbeu Korce,20,39,19,1.0
18,18,25,Rosenborg,Rosenborg 1 - 1 Zenit St Petersbourg,61,151,90,0.6703296703296703
19,20,24,Braga,Ludogorets Razgrad 1 - 1 Braga,94,175,81,1.146341463414634
20,21,23,İstanbul Basaksehir,İstanbul Basaksehir 1 - 1 Hoffenheim,180,222,42,4.186046511627907
21,22,21,Lazio,Lazio 1 - 0 Nice,249,311,62,3.9523809523809526
22,23,19,Athl. Bilbao,Athl. Bilbao 1 - 0 Östersunds FK,112,184,72,1.5342465753424657
23,24,18,Athènes,Athènes 0 - 0 Milan,45,574,529,0.08490566037735849
24,25,16,Hoffenheim,İstanbul Basaksehir 1 - 1 Hoffenheim,42,222,180,0.23204419889502761
25,26,15,Ludogorets Razgrad,Ludogorets Razgrad 1 - 1 Braga,81,175,94,0.8526315789473684
26,26,15,Zenit St Petersbourg,Rosenborg 1 - 1 Zenit St Petersbourg,90,151,61,1.4516129032258065
27,28,14,Atalanta Bergame,Apollon Limassol 1 - 1 Atalanta Bergame,64,155,91,0.6956521739130435
28,28,14,SC Fotbal Club Fcsb Sa,SC Fotbal Club Fcsb Sa 1 - 1 Hapoël Beer-Sheva,42,53,11,3.5
29,30,11,Milan,Athènes 0 - 0 Milan,529,574,45,11.5
30,31,10,Bate Borisov,Cologne 5 - 2 Bate Borisov,176,191,15,11.0
31,32,7,Arsenal,Arsenal 0 - 0 Étoile rouge Belgrade,359,363,4,71.8
32,32,7,Red Bull Salzbourg,Red Bull Salzbourg 0 - 0 Atiker Konyaspor 1922,39,57,18,2.0526315789473686
33,34,5,FC Lugano,Viktoria Plzen 4 - 1 FC Lugano,35,44,9,3.5
34,34,5,Lokomotiv,Lokomotiv 1 - 2 Tiraspol,33,38,5,5.5
35,34,5,Rijeka,Rijeka 1 - 4 Austria Vienne,4,78,74,0.05333333333333334
36,37,0,Nice,Lazio 1 - 0 Nice,62,311,249,0.248
37,37,0,Zorya Lougansk,Hertha Berlin 2 - 0 Zorya Lougansk,33,60,27,1.1785714285714286
38,37,0,Marseille,Guimaraes 1 - 0 Marseille,76,225,149,0.5066666666666667
39,37,0,Maccabi Tel Aviv,Maccabi Tel Aviv 0 - 1 FK Astana,61,130,69,0.8714285714285714
40,37,0,Vardar Skopje,Real Sociedad 3 - 0 Vardar Skopje,48,249,201,0.2376237623762376
41,37,0,Slavia Prague,Slavia Prague 0 - 2 Villarreal,84,316,232,0.3605150214592275
42,37,0,Young Boys,Young Boys 0 - 1 Dynamo Kiev,148,242,94,1.5578947368421052
43,37,0,KF Skenderbeu Korce,Partizan Belgrade 2 - 0 KF Skenderbeu Korce,19,39,20,0.9047619047619048
44,37,0,Fastav Zlin,Copenhague 3 - 0 Fastav Zlin,16,70,54,0.2909090909090909
45,37,0,Östersunds FK,Athl. Bilbao 1 - 0 Östersunds FK,72,184,112,0.6371681415929203
46,37,0,Everton,Lyon 3 - 0 Everton,221,504,283,0.778169014084507
47,37,0,Arnheim,Arnheim 0 - 2 Zulte-Waregem,13,36,23,0.5416666666666666
