,Match,Points SFL_win,Joueurs l'ayant choisi_win,Points SFL_loss,Joueurs l'ayant choisi_loss
0,Standard Liege 0 - 4 Zulte-Waregem,73,140,0,295
1,Auxerre 1 - 3 Orleans,49,81,5,460
2,Clermont Foot 0 - 2 Lorient,35,431,0,147
3,Roda 1 - 3 Arnheim,33,23,5,59
4,Niort 2 - 1 Tours,33,0,5,0
5,AC Ajaccio 2 - 0 Paris FC,31,239,0,68
6,Reims 3 - 0 Bourg en Bresse Peronnas,31,0,0,0
7,Bayern Munich 3 - 1 Bayer Leverkusen,28,1447,5,243
8,Nancy 2 - 2 Sochaux,28,0,10,0
9,Rio Ave 2 - 0 Portimonense,27,55,0,16
10,CD Leganes 1 - 0 CD Alaves,26,8,0,36
11,GFC Ajaccio 1 - 0 Quevilly,23,36,0,53
12,Valence 1 - 0 Las Palmas,23,36,0,13
13,Le Havre 1 - 0 Valenciennes,22,196,0,54
14,Metz 0 - 1 Monaco,19,1292,0,96
